Name,URL,Website,LinkedIn,Email,Phone,City/Region,BC Region,Category,AI Focus Areas,Year Founded,Size,Short Blurb,Key People,Latitude,Longitude,Logo,PercentComplete
"Gaze / Gaze AI","https://www.notion.so/Gaze-Gaze-AI-244c6f799a3381b88314df806d183fff",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Fujitsu / Fujitsu Intelligence Technology","https://www.notion.so/Fujitsu-Fujitsu-Intelligence-Technology-244c6f799a3381c38fa4f638c7b4187e",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Finger Food Advanced Technology Group / Finger Food Studios","https://www.notion.so/Finger-Food-Advanced-Technology-Group-Finger-Food-Studios-244c6f799a33811c8b40c5f0dfd06af6",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"deltAlyz Canada / deltAlyz Corp","https://www.notion.so/deltAlyz-Canada-deltAlyz-Corp-244c6f799a33814198d8e3a3234e3f84",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Defang / Defang Software Labs","https://www.notion.so/Defang-Defang-Software-Labs-244c6f799a33819a9eedd02b5d039ecb",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Creative Destruction Lab (CDL) / CDL-Vancouver","https://www.notion.so/Creative-Destruction-Lab-CDL-CDL-Vancouver-244c6f799a338130a6a6e0017305a614",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"BC + AI Ecosystem (BC AI Industry Association)","https://www.notion.so/BC-AI-Ecosystem-BC-AI-Industry-Association-244c6f799a3381bcbed8d844f218bcfd",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Artemis / Artemisdata","https://www.notion.so/Artemis-Artemisdata-244c6f799a338188b8d7cfbe12bd1132",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"Animikii / Animikii Indigenous Technology Inc","https://www.notion.so/Animikii-Animikii-Indigenous-Technology-Inc-244c6f799a33811596dcfa74e96a94af",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
"AInBC (Artificial Intelligence network of BC)","https://www.notion.so/AInBC-Artificial-Intelligence-network-of-BC-244c6f799a33818698c7c7aa3c63b094",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
